a | zu, an, bei
finesse | Feinheit
fingrale | Fingerhut
fingre | Finger
fingre del pede | Zehe
fingre-print | Fingerabdruck
final | endlich, letztlich
finale | Finale
finir | beenden
firm | fest, sicher, stark, kräftig
firmar | stärken, festigen
firmitá | Stärke, Festigkeit
Finland | Finnland
fiscal | fiskalisch
fisco | Fiskus, Staatskasse
fisic | physisch, körperlich
fisica | Physik
fisical | physikalisch
fisionomie | Physiognomie
fistul | Fistel, Hohlgeschwür
fix | fest, unbeweglich
fixar | befestigen, fest machen
fixation | Befestigung
fixitá | Festigkeit
flac | Pfütze
flad | Fladen
flagga | Flagge
flagellar | peitschen, geißeln
flagellatio | Auspeitschung
flagelle | Peitsche
flagrant | augenscheinlich
flagrar | schnell verbrennen
flamme | Flamme
flanada | Bummel, Spaziergang
flanar | bummeln, herum schlendern
flanca | Seite
flancar | zur Seite stehen, flankieren
Flandria | Flandern
flarar | wittern, riechen
flare | Witterung, Spürsinn
flattar | schmeicheln
flattosi | einschmeichelnd
flatu | Pups, Furz, Blähung
flaute | Flöte
fleche | Pfeil
flechiere | Köcher (Pfeile)
flegma | Phlegma
flexer | beugen, biegen
flexibil | biegsam, flexibel
flexion | Beugung, Biegung
flicca | Mädchen
flittre | Flitter
flor | Blume
flor-bed | Blumenbeet
flor de nive | Schneeflocke
florear | blühen
florescer | blühen
florescent | blühend
florescentie | Blüte
florette | Florett
florist | Florist
floscul | Floskel
flott | flott sein
flottallia | Treibgut, Strandgut
flottar | flößen, wehen (Fahne)
flottille | Flottille
flottuore | Floß
fluctuar | schwanken
fluctuation | Fluktuation, Schwankung
fluent | fließend
fluentie | Fluss, Fließen
fluer | fließen
flut | Flut
fluvie | Fluss
foco | Brennpunkt, Fokus
foderale | Scheide (eines Degens), Futteral
foliage | Laub
folie | Blatt
folieton | Feuilleton
folklore | Folklore
folli | verrückt
follie | Wahnsinn
foliesse | Verrücktheit
fomentar | hegen, nähren, aufwiegeln
fonde | Guss
fonder | gießen (Metall)
fonderíe | Gießerei
fondero | Gießer
fonetic | phonetisch
fonetica | Phonetik
fontan-plum | Füller, Füllfederhalter
fontane | Springbrunnen
fonte | Quelle
football | Fußball
for | fort, weg (auch als Vorsilbe)
forcurrer | wegrennen, weglaufen
fore | Loch
forear | durchlöchern
forducter | abführen, wegführen
foren | fremd, ausländisch
foren lingue | Fremdsprache
foreno | Fremder, Ausländer
forest | Wald
forestero | Förster
forficul | Ohrwurm
forgon | Gepäckwagen, Güterwagen
forjar | schmieden
forjería | Schmiede
forjero | Schmied
forlassar | verlassen
forme | Form
formica | Ameise
formicar | wimmeln
formiciera | Ameisenhaufen
formul | Formel
formular | formulieren
formulare | Formular
forn(e) | Ofen
forrage | Futter
forragear | füttern
fórsan | vielleicht
fort | kräftig, stark
forteresse | Festung
fortiar | stärken, kräftigen
fortie | Kraft, Stärke
fortificar | befestigen
fortun | Glück, Vermögen
fortunosi | glücklich
forum | Forum, Marktplatz
forvehicular | wegfahren, abfahren
fosfate | Phosphat
fosfor | Phosphor
fosse | Grube, Graben, Gruft
fossile | Fossil
fotel | Sessel
foto | Photo
fotograf | Photograph
fotografar | fotografieren
fotografie | Photographie
fox | Fuchs
foxtrott | Foxtrott
foy | Feuer
foy errant | Irrlicht
foyiere | Feuerrost
foyori | feurig, glühend
fracass | Zerschmetterung, Krachen
fracassar | zerschmettern, zertrümmern
fracter | zerbrechen
fractura | Bruch
fragil | zerbrechlich
fragilitá | Zerbrechlichkeit, Fragilität
fragment | Fragment, Bruchstück
fragmentari | fragmentarisch, bruchstückhaft
frambere | Himbeere
frame | Rahmen, Gestell
franc | frei, aufrichtig, gerade
franc-masson | Freimaurer
francitá | Aufrichtigkeit
francesi | Französisch, französisch
Francia | Frankreich
frange | Franse
frappa | Schlag
frappant | frappierend
frappar | schlagen, klopfen, anklopfen
frase | Satz
fraternal | brüderlich
fraternisar | verbrüdern
fraternisation | Verbrüderung
fraternitá | Brüderlichkeit
fratre | Bruder
fratrin | brüderlich, Bruder-
fratritá | Brüderlichkeit
fratres | Geschwister, Brüder
fraudar | betrügen
fraudatori | betrügerisch
fraude | Betrag
fraudero | Betrüger
fraxine | Esche
fregatte | Fregatte
fren | Bremse
frenar | bremsen
frequent | häufig
frequentar | häufig besuchen
frequentie | Frequenz
fresar | fräsen
fresbere | Erdbeere
fresberiero | Erdbeerstrauch
fresco | Fresko
frete | Fracht
friabil | bröckelig
friar | bröckeln
fricassé | Frikassee
fricter | reiben
friction | Reibung
friger | frieren, Kälte leiden
frigid | kalt
frigiditá | Frigidität
yo frige | mir ist kalt
frigore | Kälte
fripon | Schurke, Spitzbube
friponeríe | Schurkerei
frir braten (Pfanne) | backen
fritura | Fritteuse
frisc | frisch
friscore | Frische
friser | frisieren
frisero | Friseur
frisson | Schauder
frissonar | schaudern
frisura | Frisur
fro | von (Bewegung von einem Ort weg)
frontal | frontal
fronte | Stirn, Front
frontspicie | Titelseite
frontiera | Grenze
frossar | zerknittern
frottar | abreiben
frottation | Reiben
fructe | Frucht
fructosi | fruchtbar, voller Früchte
fructes | Obst
fructifer | Früchte tragen
fructiera | Obstgarten
frufrutar | rascheln (eines Frauenkleides)
frugal | genügsam, mäßig, einfach
frument | Getreide, Weizen
frustar | frustrieren
frustration | Frustration
fucsia | Fuchsie
fugiard | Flüchtling
fugida | Flucht
fugir | fliehen, flüchten
fugitiv | flüchtig
fugitor | Flüchtling
fularde | Halstuch
fulgurar | wetterleuchten
fulguration | Wetterleuchten
fulminar | blitzen
fúlmine | Blitz
fúlmin-tempe | Gewitter, Unwetter
fum | Rauch
fumar | rauchen
fumator | Raucher
fumicar | räuchern
function | Funktion
functionar | funktionieren
functionario | Funktionär
fund | Boden, Grund
fundament | Fundament
fundar | gründen
fundation | Gründung
fundator | Gründer
funebri | Trauer-, Leichen-
funel | Trichter
funerale | Beerdigung
funest | unheilvoll, verderblich
funestie | Unheil
fungo | Pilz, Schwamm
funiculare | Drahtseilbahn
furberíe | Betrügerei
furbon | Schurke, Betrüger
furcette | Gabel
furer | wüten, rasen
furette | Frettchen
furgon | Gepäckwagen
furiar | wüten, rasen
furie | Wut
furion | Wüterich
furiosi | wütend
furnir | liefern
furnitura | Lieferung
furnitor | Lieferant
furore | Wut
furte | Diebstahl
furter | stehlen
furtero | Dieb
furuncul | Furunkel, Blutgeschwür
fuser | schmelzen, gießen
fusil | Gewehr
fusiltube | Gewehrlauf, Gewehrrohr
fusilar | schießen (Waffe)
fusilero | Schütze
fusion | Fusion, Verschmelzung
fusionar | verschmelzen, fusionieren
futballe | Fußball
futil | gering, wertlos, seicht
futur | Zukunft
futuri | zukünftig
futurist | Futurist
gacardar | gackern
gaffe | Fischhaken
gage | Wette
gagear | wetten
gala | Gala
galactic | galaktisch
galant | galant
galaxe | Galaxis
galere | Galeere
galerie | Galerie
galimatias | verworrenes Geschwätz
Gallia | Wales
gallina | Huhn
gallinelle | Hühnchen
galliniere | Hühnerstall
gallino | Hahn
gallion | Galeone
gallon | Gallone
galoche | Gummischuhe
galoppa | Galopp
galoppar | galoppieren
galvanic | galvanisch
galvanisar | galvanisieren
gamache | Gamasche
gambale | Schaft, Stiefel
gambe | Bein
gambillar | herum springen, herumtollen
gamino | Lausbub
gamme | Tonleiter
gangren | heißer Brand (med.)
gania | Verdienst, Gewinn
ganie | Gewinn
ganiar | verdienen
ganiar un gradu universitari | graduieren, einen akademischen Grad erwerben
gans(a) | Gans
gansello | Gänschen
ganso | Gänserich
gante | Handschuh
gantes | Handschuhe
gapar | gaffen
gapon | Gaffer
garage | Garage
garant | Garant, Bürge
garantie | Garantie
garantir | garantieren, bürgen
garbe | Garbe
garda-ocules | Schutzbrille
garda-robe | Garderobe
gardar | hüten, behüten, aufbewahren, bewachen
garde | Wache
gardero | Wächter
gargule | Wasserspeier
garite | Wachhäuschen
garnir | garnieren, ausstatten, verzieren
garniment | Garnierung
garnison | Garnison
garnitura | Garnitur, Verzierung
garot | Würgeschraube, Knebel
garotar | knebeln, würgen
garson | Junge
litt garson | kleiner Junge
garson de café | Kellner
gas | Gas
gast | Gast
gastería | Gasthaus
gastrite | Gastritis
gastronom | Gastronom
gastronomic | gastronomisch
gastronomie | Gastronomie
gaudiar | lustig sein, fröhlich sein
gaudie | Lustigkeit, Freude
gaudiosi | fröhlich, lustig
gay | froh, heiter, lustig, fröhlich
gayesse | Frohsinn, Heiterkeit
gayitá | Frohsinn, Heiterkeit
gaze | Gaze
gazelle | Gazelle
gazette | Zeitung
gazon | Rasen
gela | Frost
gelar | gefrieren
gelate | Speiseeis
gelateería | Eisdiele
gelatine | Gelatine
gelé | Gelee, Sülze
gemelle | Zwilling
gemida | Seufzer, Stöhnen
gemir | ächzen, seufzen
gena | Qual, Bedrängnis, Verlegenheit, Hindernis
genar | belästigen, bedrängen
gendarme | Gendarm, Polizist
genealogie | Genealogie
generale | General
generar | erzeugen, hervorbringen
generator | Generator
generation | Generation
génere | Gattung, Geschlecht (gram.)
génere homan | Menschengeschlecht
generosi | großzügig, freigiebig
generositá | Großzügigkeit, Freigiebigkeit
genese | Genesis (Bibel), Entstehung
genetic | genetisch
gengive | Zahnfleisch
genie | Genie
genital | genital
genitallia | Geschlechtsorgane
geniter | zeugen, erzeugen
genitive | Genitiv
genitores | Eltern
genitura | Sprössling
gente | Leute
gentiane | Enzian
gentil | nett, höflich
gentilesse | Höflichkeit, Artigkeit
gentilmann | Gentleman
genú | Knie
genuin | echt
genuitá | Echtheit
geodesie | Geodäsie
Georgia | Georgien
geograf | Geograph
geografic | geographisch
geografie | Geographie
geolog | Geologe
geologic | geologisch
geologie | Geologie
geometric | geometrisch
geometrie | Geometrie
geranie | Geranie
gerantie | Management, Geschäftsleitung
gerer | verwalten, managen, besorgen
german | Deutsch, deutsch
Germania | Deutschland
germinar | keimen, ausschlagen
gérmine | Keim, Saat
gerundie | Gerundium
gestation | Trächtigkeit, Schwangerschaft
geste | Geste, Gebärde
gesticular | gestikulieren, Gebärden machen
geyser | Geysir
ghetto | Ghetto
gigante | Riese
gigantesc | riesig, riesenhaft
gigantic | gigantisch, riesig
gilet | Weste
gimnasium | Gymnasium
gimnast | Turner
gimnastic | gymnastisch
gimnastic-anell | Gymnastikreifen
gimnastic-balle | Gymnastikball
gimnastic-bande | Gymnastikband
gimnastic corde | Gymnastikseil
gimnastica | Turnen, Gymnastik
gin | Gin
giraffe | Giraffe
girar | kreisen, sich drehen, rotieren
giration | Drehung, Rotation
giratori | rotierend, kreisend
girette | Wetterhahn, Wetterfahne
giron | Kreisel
glacial | Eis-
glaciar | gefrieren
glacie | Eis
glacie-monte | Eisberg
glaciero | Gletscher
gladiar | fechten, mit dem Schwert kämpfen
gladiator | Gladiator
gladie | Schwert
glande | Eichel
gladiol | Gladiole
glandul | Drüse
glasero | Glaser
glass | Trinkglas
glatt | glatt
glattuore | Bügeleisen
gleb | Scholle, Erdklumpen
glicerine | Glyzerin
glicine | Glyzine
gliptoteca | Glyptothek
glire | Siebenschläfer
glissa-glacie | Glatteis
glissar | ausrutschen, gleiten
glissid | rutschig
glissuore | Rutschbahn, Kufe, Schlitten
glob | Globus, Erdball
global | global
globul | Kügelchen, Körperchen, Pille
glom | Knäuel (Garn), Strähne (Garn)
glorie | Ruhm
glorificar | glorifizieren
gloriosi | ruhmreich
glossarium | Glossar
glosse | Glosse (Zeitung)
glotir | herunter schlucken, verschlingen
gloton | Vielfraß
glucose | Traubenzucker, Glukose
glutinar | kleben
glutine | Klebstoff
gnistar | knistern
gnome | Gnom, Zwerg
gnu | Gnu
gol | Tor (Sport)
golf | Golf
gonde | Türangel
góndol | Gondel
gondolar | gondeln
gondolero | Gondoliere
gong | Gong
gonoréa | Tripper
gorille | Gorilla
gotic | gotisch
governar | erziehen
governessa | Erzieherin, Gouvernante
gracie | Liebreiz, Anmut, Gnade
gracil | schlank, zierlich
graciosi | anmutig
graciositá | Anmut
gradu | Grad
gradual | graduell
graduar | graduieren, einen Universitätsabschluss machen
grafic | graphisch
grafica | Graphik
grafite | Graphit
gramatica | Grammatik
gramm | Gramm
granat | Granat
grand | groß
gradesse | Größe
grandiosi | grandios, hervorragend
granditá | Größe
Grand Britannia | Großbritannien
grandiosi | großartig
grand-matre | Großmutter
grandore | Größe
grand-patre | Großvater
grane | Korn
graniere | Kornspeicher
granite | Granit
granul | Körnchen
granulari | körnig
grass | fett, dick
grasse | Fett
grassosi | fettig
grat | dankbar
grate | Gitter, Gatter
gratificar | beschenken
gratification | Bonus, Geschenk
gratiment | Trinkgeld
gratitá | Dankbarkeit
grattar | kratzen
gratuit | kostenlos, gratis
gratulation | Gratulation, Glückwunsch
grav | ernst, schwer
graver | einschneiden, gravieren, eingraben
gravura | Gravur
gravitá | Schwere
gravid | schwanger
graviditá | Schwangerschaft
gravie | Kies
graviera | Kiesgrube
gravitation | Erdanziehungskraft, Gravitation
grec | Griechisch, griechisch
Grecia | Griechenland
greftar | pfropfen
grefte | Pfropfen
grel | Hagel
grelar | hageln
grelun | Hagelkorn
gremie | Schoss
grenade | Granate
grenadero | Grenadier
Grenland | Grönland
griffe | Klaue, Kralle
grill | Grill
grillar | grillen
grillat | gegrillt
grillie | Grille
grimar se | sich schminken
grime | Schminke
grimpar | klettern
grinar | grinsen
grinsar | knirschen
grippe | Grippe
grisi | grau
grisú | schlagendes Wetter, schlechtes Wetter
grivar | grämen
grive | Gram, Kummer
grog | Glühwein
gross | dick, beleibt, stark, geschwollen
grosse | Groß (12 Dutzend)
grossieri | grob, gemein, schmutzig
grossist | Grossist, Großhändler
grotesc | grotesk
grotte | Grotte
grue | Kranich
gruel | Graupe, Haferschleim
grunida | Grunzen
grunir | grunzen
gruppe | Gruppe
guanciar | ohrfeigen
guanciade | Ohrfeige
guancie | Wange, Backe
guardian | Wächter, Hüter
guardie | Wacht
guardist | Gardist
guatar | lauern, aufpassen
gudron | Teer
gudronar | teeren
guerraci | kriegerisch
guerrar | Krieg führen
guerre | Krieg
guerre intern | Bürgerkrieg
guerrear | Krieg führen
guerrero | Krieger
guerrilla | Guerilla
guerrillero | Guerillero
guf | Uhu
guidar | führen
guide | Führung
guidero | Führer
guidon | Lenkstange (Fahrrad), Lenker
guilde | Gilde
guillotine | Guillotine, Fallbeil
guirlande | Girlande
guitarre | Gitarre
gumme | Gummi, Radiergummi
gurgul | Speiseröhre, Gurgel
gurgulear | gurgeln
gurmand | leckerhaft, gefräßig, feinschmeckerisch
gust | Geschmack, Lust, Neigung
gustar | schmecken, kosten
gutte | Tropfen
guttear | tropfen
guttiere | Regenrinne
gúttur | Rachen
guvernament | Regierung
guvernar | regieren
guvernator | Gouverneur
guvernero | Gouverneur
ha | hat (Perfektpartikel)
habil | geschickt
habilitar | habilitieren
habitar | wohnen
habitante | Einwohner
habitar | wohnen
habitation | Wohnung
hábitu | Gewohnheit
hacca | Hacke
haccar | hacken
haccat carne | Hackfleisch
hachette | Beil
haccuore | Fleischwolf
hachar | zerkleinern, zerhacken
hache | Beil
hag(a) | Hecke
hala | Atem, Hauch
halar | atmen, hauchen
halation | Atmung
halebarde | Hellebarde
hall | Halle
halta | Halt, Stillstand
haltar | anhalten
haltere | Hantel
halucinar | halluzinieren
hamoc | Hängematte
hamstre | Hamster
hanche | Hüfte
handicapat | behindert
hangare | Schuppen
happar | erhaschen, schnappen
har | haben (als Hilfszeitwort)
harem | Harem
hareng | Hering
harmonic | harmonisch
harmonie | Harmonie
harmonisar | harmonisieren
harness | Harnisch, Pferdegeschirr
harpe | Harfe
harpero | Harfenspieler
harpunar | harpunieren
harpune | Harpune
hasard(e) | Zufall, Glück
hasardal | zufällig
hasta | Eile
hastar | eilen
hat | hatte (Plusquamperfektpartikel)
hauster | erschöpfen, ausschöpfen
haver | haben (besitzen)
haver … annus | alt sein
haver li gust de | schmecken nach
haver li jure | dürfen
haver rason | Recht haben
hay | es gibt, es sind
hebréa | Jüdin
hebreic | hebräisch, jüdisch
hebréo | Hebräer, Jude
hegemonie | Hegemonie
helice | Propeller, Schiffsschraube
hem | Heim
hem-tache | Hausaufgabe
hemorides | Hämorriden
hépate | Leber
heralde | Herold
heraldica | Heraldik
herbe | Gras
heredage | Erbe
heredar | erben
heredie | Erbe
heresie | Ketzerei
heretic | ketzerisch
heretico | Ketzer
herisser | empor richten, sträuben (Haare, Stacheln))
herisson | Igel
hermafrodite | Zwitter
hermeline | Hermelin
heróa | Heldin
heróe | Held
heroic | heldenhaft
heroisme | Heldentum
heron | Reiher
hérpes | Herpes
hersar | eggen
herse | Egge
hesitar | zögern
hesitativ | zögerlich
hetera | Hure, Prostituierte
heterogen | heterogen
heterosexual | heterosexuell
hiacinte | Hyazinthe
hiada | Gähnen
hiar | gähnen
hibride | Kreuzung
hibridisar | kreuzen
hicca | Schluckauf
hiccar | aufstoßen, Schluckauf haben
hideosi | hässlich, scheußlich
hideositá | Hässlichkeit, Scheußlichkeit
hidrante | Hydrant
hidraulica | Hydraulik
hidre | Hydra
hien | Hyäne
hierarchie | Hierarchie
hiereoglife | Hieroglyphe
higiene | Hygiene
higienic | hygienisch
